ΜΑΘΗΜΑ ,ΚΑΤΗΓΟΡΙΑ ΜΑΘΗΜΑΤΟΣ
ΝΕΟΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ
ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΜΑΘΗΜΑΤΙΚΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ + Ο.Π. ΣΠΟΥΔΩΝ ΟΙΚΟΝΟΜΙΑΣ &ΠΛΗΡ/ΚΗΣ
ΜΑΘΗΜΑΤΙΚΑ ΚΑΙ ΣΤΟΙΧΕΙΑ ΣΤΑΤΙΣΤΙΚΗΣ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ
ΙΣΤΟΡΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ
ΙΣΤΟΡΙΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΦΥΣΙΚΗ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΑΡΧΕΣ ΟΙΚΟΝΟΜΙΚΗΣ ΘΕΩΡΙΑΣ,Ο.Π. ΣΠΟΥΔΩΝ ΟΙΚΟΝΟΜΙΑΣ & ΠΛΗΡ/ΚΗΣ
ΒΙΟΛΟΓΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΑΝΑΠΤΥΞΗ ΕΦΑΡΜΟΓΩΝ ΣΕ Π.Π.,Ο.Π. ΣΠΟΥΔΩΝ ΟΙΚΟΝΟΜΙΑΣ & ΠΛΗΡ/ΚΗΣ
ΛΑΤΙΝΙΚΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΧΗΜΕΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠΟΥΔΩΝ
ΒΙΟΛΟΓΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ
