ΚΩΔΙΚΟΣ ΛΥΚΕΙΟΥ,ΟΝΟΜΑΣΙΑ ΛΥΚΕΙΟΥ,ΚΩΔΙΚΟΣ ΔΔΕ,ΟΝΟΜΑΣΙΑ ΔΔΕ
0551007,5ο  ΓΕΝ. ΛΥΚ. ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551914,ΓΕΝ. ΛΥΚ. ΑΓ.ΙΩΑΝΝΟΥ ΡΕΝΤΗ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551920,2ο   ΓΕΝ. ΛΥΚ. ΚΕΡΑΤΣΙΝΙΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551924,1ο   ΓΕΝ. ΛΥΚ. ΔΡΑΠΕΤΣΩΝΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551925,2ο   ΓΕΝ. ΛΥΚ. ΔΡΑΠΕΤΣΩΝΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551926,1ο   ΓΕΝ. ΛΥΚ. ΠΕΡΑΜΑΤΟΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551927,1ο   ΓΕΝ. ΛΥΚ. ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551928,2o ΓΕΛ ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551929,3ο   ΓΕΝ. ΛΥΚ. ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551930,ΕΣΠΕΡΙΝΟ  ΓΕΝ. ΛΥΚ. ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551931,1ο   ΓΕΝ. ΛΥΚ. ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551932,2ο   ΓΕΝ. ΛΥΚ. ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551933,1ο   ΓΕΝ. ΛΥΚ. ΚΕΡΑΤΣΙΝΙΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551935,4ο  ΓΕΝ. ΛΥΚ. ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551937,ΓΕΝ. ΛΥΚ. ΚΑΜΙΝΙΩΝ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551941,3ο   ΓΕΝ. ΛΥΚ. ΚΕΡΑΤΣΙΝΙΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551942,4ο   ΓΕΝ. ΛΥΚ. ΚΕΡΑΤΣΙΝΙΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551945,3ο  ΓΕΝ. ΛΥΚ. .ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551951,4ο  ΓΕΝ. ΛΥΚ. ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0551958,ΕΣΠΕΡΙΝΟ ΓΕΝ. ΛΥΚ. ΚΟΡΥΔΑΛΛΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0552945,ΕΣΠΕΡΙΝΟ ΓΕΝ. ΛΥΚ. ΠΕΡΑΜΑΤΟΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0590850,ΓΕΝ. ΛΥΚ. ΓΑΛΑΤΑ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0590921,2ο   ΓΕΝ. ΛΥΚ.  ΠΕΡΑΜΑΤΟΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
0590990,5ο  ΓΕΝ. ΛΥΚ. ΝΙΚΑΙΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5202020,ΛΥΚ.ΤΑΞΕΙΣ ΓΥΜΝ.ΜΕΘΑΝΩΝ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5202035,ΛΥΚ. ΤΑΞΕΙΣ ΕΣΠΕΡΙΝΟΥ ΓΥΜΝ ΓΑΛΑΤΑ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5204021,ΛΥΚ. ΤΑΞΕΙΣ ΓΥΜΝ. ΑΓΚΙΣΤΡΙΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5252010,ΓΕΝ. ΛΥΚ. ΠΟΡΟΥ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5253010,1ο   ΓΕΝ. ΛΥΚ. ΣΑΛΑΜΙΝΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5253011,2ο ΓΕΝ. ΛΥΚ. ΣΑΛΑΜΙΝΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5253020,ΓΕΝ. ΛΥΚ. ΑΜΠΕΛΑΚΙΩΝ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5254010,1ο  ΓΕΝ. ΛΥΚ. ΑΙΓΙΝΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5255010,ΓΕΝ. ΛΥΚ. ΚΥΘΗΡΩΝ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5256010,ΓΕΝ. ΛΥΚ. ΥΔΡΑΣ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
5257010,ΓΕΝ. ΛΥΚ. ΣΠΕΤΣΩΝ,230,Δ/ΝΣΗ Δ.Ε. ΠΕΙΡΑΙΑ                      
1501038,ΛΥΚ. ΤΑΞΕΙΣ ΕΣΠΕΡ. ΓΥΜΝ. ΠΥΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1502090,ΛΥΚ. ΤΑΞ. ΕΣΠΕΡ. ΓΥΜΝ. ΑΜΑΛΙΑΔΟΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1508015,ΛΥΚ. ΤΑΞ. ΜΟΥΣ. ΓΥΜΝ. ΒΑΡΘΟΛΟΜΙΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1511010,ΛΥΚ. ΤΑΞΕΙΣ. ΓΥΜΝ. ΛΑΜΠΕΙΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1515010,ΛΥΚ. ΤΑΞΕΙΣ. ΓΥΜΝ. ΚΑΛΛΙΘΕΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1551010,1ο  ΓΕΝ. ΛΥΚ. ΠΥΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1551020,2ο ΓΕΝ. ΛΥΚ. ΠΥΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1551025,3ο  ΓΕΝ. ΛΥΚ. ΠΥΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1551026,4ο  ΓΕΝ. ΛΥΚ. ΠΥΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1551050,ΓΕΝ. ΛΥΚ. ΒΟΥΝΑΡΓΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1552010,1ο   ΓΕΝ. ΛΥΚ. ΑΜΑΛΙΑΔΟΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1552020,2ο  ΓΕΝ. ΛΥΚ. ΑΜΑΛΙΑΔΟΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1552030,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΓΑΣΤΟΥΝΗΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1553010,ΓΕΝ. ΛΥΚ. ΑΝΔΡΙΤΣΑΙΝΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1554010,ΓΕΝ. ΛΥΚ. ΠΕΛΟΠΙΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1555010,ΓΕΝ. ΛΥΚ. ΖΑΧΑΡΩΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1556010,ΓΕΝ. ΛΥΚ. ΚΡΕΣΤΕΝΩΝ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1557010,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΛΕΧΑΙΝΩΝ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1557020,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΑΝΔΡΑΒΙΔΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1558010,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΒΑΡΘΟΛΟΜΙΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1559010,ΓΕΝ. ΛΥΚ. ΛΑΛΑ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1560010,ΓΕΝ. ΛΥΚ. ΝΕΑΣ ΦΙΓΑΛΕΙΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1562010,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΣΙΜΟΠΟΥΛΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1563010,ΓΕΝ. ΛΥΚ. ΒΑΣΙΛΑΚΙΟΥ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1564010,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΒΑΡΔΑΣ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
1566010,ΓΕΝ. ΛΥΚ. ΚΑΡΑΤΟΥΛΑ,255,Δ/ΝΣΗ Δ.Ε. ΗΛΕΙΑΣ                       
