ΜΑΘΗΜΑ,ΚΑΤΗΓΟΡΙΑ,ΤΥΠΟΣ,ΤΥΠΟΣ
Α.Ε.Π.Π.,Ο.Π. ΣΠ.ΟΙΚΟΝΟΜΙΑΣ&ΠΛΗΡ/ΚΗΣ,0,ΗΜΕΡΗΣΙΟ
ΑΟΘ,Ο.Π. ΣΠ.ΟΙΚΟΝΟΜΙΑΣ&ΠΛΗΡ/ΚΗΣ,0,ΗΜΕΡΗΣΙΟ
ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
ΒΙΟΛΟΓΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,0,ΗΜΕΡΗΣΙΟ
ΒΙΟΛΟΓΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
ΙΣΤΟΡΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,0,ΗΜΕΡΗΣΙΟ
ΙΣΤΟΡΙΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
ΛΑΤΙΝΙΚΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
ΜΑΘΗΜΑΤΙΚΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.+ΣΠ.ΟΙΚΟΝ.&ΠΛΗΡ/ΚΗΣ,0,ΗΜΕΡΗΣΙΟ
ΜΑΘΗΜΑΤΙΚΑ ΚΑΙ ΣΤΟΙΧΕΙΑ ΣΤΑΤΙΣΤΙΚΗΣ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,0,ΗΜΕΡΗΣΙΟ
ΝΕΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,0,ΗΜΕΡΗΣΙΟ
ΦΥΣΙΚΗ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
ΧΗΜΕΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,0,ΗΜΕΡΗΣΙΟ
Α.Ε.Π.Π.,Ο.Π. ΣΠ.ΟΙΚΟΝΟΜΙΑΣ&ΠΛΗΡ/ΚΗΣ,1,ΕΣΠΕΡΙΝΟ
ΑΟΘ,Ο.Π. ΣΠ.ΟΙΚΟΝΟΜΙΑΣ&ΠΛΗΡ/ΚΗΣ,1,ΕΣΠΕΡΙΝΟ
ΑΡΧΑΙΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
ΒΙΟΛΟΓΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,1,ΕΣΠΕΡΙΝΟ
ΒΙΟΛΟΓΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
ΙΣΤΟΡΙΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,1,ΕΣΠΕΡΙΝΟ
ΙΣΤΟΡΙΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
ΛΑΤΙΝΙΚΑ,Ο.Π. ΑΝΘΡΩΠΙΣΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
ΜΑΘΗΜΑΤΙΚΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.+ΣΠ.ΟΙΚΟΝ.&ΠΛΗΡ/ΚΗΣ,1,ΕΣΠΕΡΙΝΟ
ΜΑΘΗΜΑΤΙΚΑ ΚΑΙ ΣΤΟΙΧΕΙΑ ΣΤΑΤΙΣΤΙΚΗΣ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,1,ΕΣΠΕΡΙΝΟ
ΝΕΑ ΕΛΛΗΝΙΚΗ ΓΛΩΣΣΑ,ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,1,ΕΣΠΕΡΙΝΟ
ΦΥΣΙΚΗ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
ΧΗΜΕΙΑ,Ο.Π. ΘΕΤΙΚΩΝ ΣΠ.,1,ΕΣΠΕΡΙΝΟ
